YES,NO,p,City
9,11,0.45,HAYNESVILLE Maine
83,72,0.535483871,HEBRON Maine
350,261,0.572831424,HERMON Maine
0,4,0,HERSEY Maine
23,22,0.511111111,HIGHLAND Maine
76,59,0.562962963,HIRAM Maine
64,77,0.453900709,HODGDON Maine
303,241,0.556985294,HOLDEN Maine
314,198,0.61328125,HOLLIS Maine
129,111,0.5375,HOPE Maine
508,400,0.559471366,HOULTON Maine
84,80,0.512195122,HOWLAND Maine
73,69,0.514084507,HUDSON Maine
19,9,0.678571429,INDIAN TOWNSHIP Maine
61,69,0.469230769,INDUSTRY Maine
54,38,0.586956522,ISLAND FALLS Maine
18,5,0.782608696,ISLE AU HAUT Maine
101,72,0.583815029,ISLESBORO Maine
63,70,0.473684211,JACKMAN Maine
44,25,0.637681159,JACKSON Maine
354,239,0.596964587,JAY Maine
229,161,0.587179487,JEFFERSON Maine
44,35,0.556962025,JONESBORO Maine
52,50,0.509803922,JONESPORT Maine
87,64,0.57615894,KENDUSKEAG Maine
1061,631,0.627068558,KENNEBUNK Maine
523,246,0.680104031,KENNEBUNKPORT Maine
95,73,0.56547619,KINGFIELD Maine
4,0,1,KINGMAN Maine
1010,672,0.600475624,KITTERY Maine
41,48,0.460674157,KNOX Maine
39,48,0.448275862,LAGRANGE Maine
13,8,0.619047619,LAKE VIEW Maine
11,16,0.407407407,LAKEVILLE Maine
321,264,0.548717949,LAMOINE Maine
419,368,0.532401525,LEBANON Maine
64,51,0.556521739,LEE Maine
132,122,0.519685039,LEEDS Maine
136,132,0.507462687,LEVANT Maine
3922,2639,0.597774729,LEWISTON Maine
100,66,0.602409639,LIBERTY Maine
193,148,0.565982405,LIMERICK Maine
134,111,0.546938776,LIMESTONE Maine
191,140,0.577039275,LIMINGTON Maine
364,409,0.470892626,LINCOLN Maine
192,160,0.545454545,LINCOLNVILLE Maine
45,36,0.555555556,LINNEUS Maine
855,835,0.50591716,LISBON Maine
270,185,0.593406593,LITCHFIELD Maine
50,59,0.458715596,LITTLETON Maine
202,151,0.57223796,LIVERMORE Maine
287,220,0.566074951,LIVERMORE FALLS Maine
68,24,0.739130435,LONG ISLAND Maine
98,63,0.608695652,LOVELL Maine
18,25,0.418604651,LOWELL Maine
133,96,0.580786026,LUBEC Maine
27,26,0.509433962,LUDLOW Maine
335,207,0.618081181,LYMAN Maine
128,99,0.563876652,MACHIAS Maine
67,65,0.507575758,MACHIASPORT Maine
7,7,0.5,MACWAHOC Maine
434,250,0.634502924,MADAWASKA Maine
295,204,0.591182365,MADISON Maine
4,7,0.363636364,MAGALLOWAY Maine
304,185,0.621676892,MANCHESTER Maine
100,103,0.492610837,MAPLETON Maine
37,44,0.456790123,MARIAVILLE Maine
80,95,0.457142857,MARS HILL Maine
47,36,0.56626506,MARSHFIELD Maine
13,20,0.393939394,MASARDIS Maine
7,10,0.411764706,MATINICUS ISLE Maine
32,27,0.542372881,MATTAWAMKEAG Maine
6,7,0.461538462,MAXFIELD Maine
153,144,0.515151515,MECHANIC FALLS Maine
14,17,0.451612903,MEDDYBEMPS Maine
23,25,0.479166667,MEDFORD Maine
75,89,0.457317073,MEDWAY Maine
54,54,0.5,MERCER Maine
13,15,0.464285714,MERRILL Maine
165,155,0.515625,MEXICO Maine
65,59,0.524193548,MILBRIDGE Maine
225,161,0.582901554,MILFORD Maine
592,466,0.559546314,MILLINOCKET Maine
143,90,0.613733906,MILO Maine
158,132,0.544827586,MINOT Maine
16,14,0.533333333,MONHEGAN ISLAND Maine
349,190,0.647495362,MONMOUTH Maine
56,54,0.509090909,MONROE Maine
70,55,0.56,MONSON Maine
29,44,0.397260274,MONTICELLO Maine
41,76,0.35042735,MONTVILLE Maine
8,12,0.4,MOOSE RIVER Maine
2,3,0.4,MORO Maine
80,74,0.519480519,MORRILL Maine
28,28,0.5,MOSCOW Maine
23,24,0.489361702,MOUNT CHASE Maine
229,154,0.597911227,MOUNT DESERT Maine
135,87,0.608108108,MOUNT VERNON Maine
243,161,0.601485149,NAPLES Maine
