MUNICIPALITY,YES,NO,BLANK,YES.1,NO.1,BLANK.1,YES.2,NO.2,BLANK.2,YES.3,NO.3,BLANK.3,YES.4,NO.4,BLANK.4
LUDLOW,27,26,0,22,31,0,29,24,0,14,39,0,23,30,0
LYMAN,335,207,5,320,225,2,399,142,6,291,252,4,355,190,2
MACHIAS,128,99,2,149,80,0,176,51,2,109,117,3,152,76,1
MACHIASPORT,67,65,0,67,64,1,88,43,1,62,69,1,79,51,2
MACWAHOC,7,7,0,9,5,0,7,7,0,7,7,0,8,6,0
MADAWASKA,434,250,11,475,211,9,529,154,12,318,365,12,450,234,11
MADISON,295,204,11,278,225,7,344,156,10,250,253,7,313,193,4
MAGALLOWAY,4,7,0,3,8,0,4,7,0,1,10,0,4,7,0
MANCHESTER,304,185,2,326,163,2,383,105,3,279,210,2,335,155,1
MAPLETON,100,103,1,114,89,1,142,62,0,79,124,1,131,73,0
MARIAVILLE,37,44,0,35,46,0,51,30,0,30,51,0,37,44,0
MARS HILL,80,95,1,85,89,2,96,78,2,61,114,1,91,84,1
MARSHFIELD,47,36,1,45,38,1,65,19,0,39,43,2,49,35,0
MASARDIS,13,20,0,16,17,0,19,13,1,11,22,0,16,16,1
MATINICUS ISLE,7,10,0,11,6,0,16,1,0,10,7,0,13,4,0
MATTAWAMKEAG,32,27,1,35,25,0,39,21,0,28,32,0,41,19,0
MAXFIELD,6,7,0,4,9,0,5,8,0,4,9,0,5,8,0
MECHANIC FALLS,153,144,0,143,153,1,180,116,1,106,189,2,159,138,0
MEDDYBEMPS,14,17,0,13,17,1,18,13,0,9,21,1,15,16,0
MEDFORD,23,25,0,23,25,0,27,21,0,16,32,0,22,26,0
MEDWAY,75,89,1,66,99,0,97,66,2,54,109,2,72,93,0
MERCER,54,54,0,48,60,0,67,41,0,40,68,0,61,47,0
MERRILL,13,15,0,5,23,0,13,15,0,4,24,0,6,22,0
MEXICO,165,155,1,180,140,1,220,100,1,129,190,2,180,140,1
MILBRIDGE,65,59,1,59,63,3,82,42,1,56,68,1,68,57,0
MILFORD,225,161,3,205,181,3,263,122,4,172,214,3,233,153,3
MILLINOCKET,592,466,26,520,532,32,707,348,29,461,605,18,590,469,25
MILO,143,90,0,132,98,3,179,54,0,102,131,0,140,92,1
MINOT,158,132,1,154,136,1,178,108,5,143,147,1,168,122,1
MONHEGAN ISLAND,16,14,0,27,3,0,29,1,0,23,7,0,26,4,0
MONMOUTH,349,190,4,341,195,7,387,150,6,308,229,6,371,166,6
MONROE,56,54,1,56,53,2,76,34,1,46,64,1,62,49,0
MONSON,70,55,1,59,66,1,77,49,0,51,74,1,70,55,1
MONTICELLO,29,44,2,29,44,2,42,29,4,17,55,3,34,38,3
MONTVILLE,41,76,1,67,51,0,70,48,0,55,61,2,70,48,0
MOOSE RIVER,8,12,0,6,14,0,11,9,0,4,16,0,8,12,0
MORO,2,3,0,0,5,0,0,5,0,0,5,0,0,5,0
MORRILL,80,74,0,70,83,1,96,58,0,64,88,2,86,68,0
MOSCOW,28,28,1,30,25,2,34,23,0,25,30,2,35,21,1
MOUNT CHASE,23,24,0,24,23,0,31,15,1,24,23,0,22,25,0
MOUNT DESERT,229,154,5,288,97,3,318,68,2,266,116,6,299,87,2
MOUNT VERNON,135,87,2,141,80,3,164,58,2,121,102,1,143,79,2
NAPLES,243,161,6,203,201,6,277,127,6,204,201,5,229,175,6
NEW CANADA,29,21,0,30,20,0,37,13,0,19,31,0,28,22,0
NEW GLOUCESTER,340,284,1,333,290,2,395,228,2,283,340,2,377,248,0
NEW LIMERICK,40,39,3,38,42,2,55,26,1,33,47,2,47,35,0
NEW PORTLAND,57,72,0,64,64,1,80,49,0,53,75,1,67,61,1
NEW SHARON,111,115,1,112,114,1,142,84,1,96,130,1,120,107,0
NEW SWEDEN,77,108,1,96,89,1,113,71,2,57,127,2,94,91,1
NEW VINEYARD,40,60,1,33,68,0,55,46,0,32,69,0,40,61,0
NEWBURGH,112,93,0,99,106,0,142,63,0,82,121,2,125,80,0
NEWCASTLE,222,132,2,246,108,2,287,67,2,243,109,4,267,89,0
NEWFIELD,86,60,2,85,62,1,102,44,2,69,78,1,87,60,1
NEWPORT,226,129,2,177,179,1,253,104,0,161,194,2,215,141,1
NEWRY,55,28,0,57,24,2,63,19,1,51,32,0,56,27,0
NOBLEBORO,158,136,1,171,121,3,205,89,1,164,128,3,187,105,3
NORRIDGEWOCK,194,137,1,176,155,1,210,119,3,149,182,1,195,136,1
NORTH BERWICK,360,226,6,349,240,3,426,162,4,306,278,8,387,202,3
NORTH HAVEN,55,26,3,68,16,0,74,9,1,65,17,2,70,13,1
NORTH YARMOUTH,376,219,5,392,206,2,452,146,2,368,229,3,415,184,1
NORTHFIELD,12,13,0,16,9,0,21,4,0,12,13,0,18,7,0
NORTHPORT,153,151,1,166,139,0,210,94,1,161,141,3,178,126,1
NORWAY,360,204,3,340,224,3,408,155,4,327,234,6,361,204,2
OAKFIELD,33,17,1,22,29,0,27,23,1,15,35,1,24,27,0
OAKLAND,508,381,10,517,374,8,617,273,9,436,451,12,550,340,9
OGUNQUIT,276,113,6,306,82,7,339,48,8,278,110,7,305,85,5
OLD ORCHARD BEACH,1055,588,36,1103,548,28,1276,370,33,934,714,31,1159,497,23
OLD TOWN,662,475,28,710,447,8,851,297,17,578,575,12,773,380,12
ORIENT,19,9,0,18,10,0,21,7,0,15,13,0,21,7,0
ORLAND,351,337,13,360,332,9,483,208,10,325,367,9,414,280,7
ORONO,627,400,19,841,197,8,871,165,10,614,414,18,837,204,5
ORRINGTON,354,245,2,287,314,0,393,204,4,282,316,3,360,241,0
OSBORN,7,15,0,6,16,0,7,15,0,4,18,0,6,16,0
OTIS,62,64,2,49,78,1,73,54,1,51,77,0,67,60,1
OTISFIELD,129,87,0,136,80,0,163,52,1,117,99,0,147,69,0
OWLS HEAD,146,121,2,167,100,2,204,63,2,157,109,3,178,91,0
OXBOW,6,6,0,6,6,0,9,3,0,4,8,0,6,6,0
OXFORD,290,224,5,248,265,6,311,201,7,210,300,9,261,252,6
PALERMO,100,78,0,82,94,2,109,67,2,84,94,0,92,86,0
PALMYRA,122,91,1,98,113,3,144,69,1,81,132,1,113,100,1
PARIS,325,216,6,295,249,3,378,167,2,248,294,5,326,220,1
PARKMAN,43,58,0,36,65,0,59,42,0,31,70,0,47,54,0
PARSONSFIELD,98,70,0,95,73,0,116,51,1,88,80,0,102,66,0
PASSADUMKEAG,31,28,0,23,36,0,33,26,0,17,42,0,30,29,0
PATTEN,68,54,3,71,53,1,83,40,2,47,75,3,70,53,2
PEMBROKE,72,69,0,71,70,0,87,54,0,55,86,0,81,60,0
PENOBSCOT,132,131,4,152,111,4,191,75,1,154,112,1,170,95,2
PENOBSCOT NATION VOTING DISTRICT,23,14,0,23,14,0,29,8,0,19,18,0,26,11,0
PERHAM,19,13,1,15,18,0,17,15,1,10,22,1,17,16,0
PERRY,74,70,3,80,66,1,106,40,1,75,70,2,91,56,0
PERU,173,127,2,166,136,0,203,99,0,126,174,2,173,128,1
PHILLIPS,79,92,1,80,92,0,101,70,1,64,107,1,80,91,1
PHIPPSBURG,270,177,9,316,136,4,358,93,5,306,148,2,324,131,1
